,Handle,Date,Compound,Positive,Neutral,Negative,Tweet Text,Tweets Ago
20,CNN,Sat Apr 28 02:01:08 +0000 2018,0.0,0.0,1.0,0.0,The Nevada Senate race shows that demographics are not destiny | Analysis by CNN's Harry Enten… https://t.co/UhMAJlfxtQ,21
21,CNN,Sat Apr 28 01:51:08 +0000 2018,-0.6597,0.0,0.671,0.329,All 10 victims of the Toronto van attack have been identified https://t.co/oE3zD2fLJQ https://t.co/QjLUniozNt,22
22,CNN,Sat Apr 28 01:51:07 +0000 2018,-0.2263,0.063,0.829,0.107,Rabbis want Kansas state Sen. Steve Fitzgerald to stop citing the Nazis and Holocaust in his anti-abortion argument… https://t.co/QZbRxi3woV,23
23,CNN,Sat Apr 28 01:44:20 +0000 2018,0.3641,0.12,0.829,0.05,"RT @AC360: ""It's almost laughable, except it's not, that invoking fairness and remembering those less fortunate, apparently is now a firing…",24
24,CNN,Sat Apr 28 01:43:06 +0000 2018,0.0,0.0,1.0,0.0,A Republican candidate in the Georgia gubernatorial race appears to have cribbed language from Missouri Gov. Eric G… https://t.co/zMnmoq2caD,25
25,CNN,Sat Apr 28 01:37:23 +0000 2018,-0.3818,0.0,0.86,0.14,American Airlines is being sued after a bride returning from her honeymoon had a medical emergency during a flight… https://t.co/pFTc5ZLuI6,26
26,CNN,Sat Apr 28 01:00:16 +0000 2018,0.0,0.0,1.0,0.0,"RT @AC360: ""I think she just blurted it out: ... she said ... 'I have a dual role: I'm a private attorney and I'm an informant.'"" - @Sharon…",27
27,CNN,Sat Apr 28 00:57:42 +0000 2018,-0.4019,0.0,0.881,0.119,"""Doing one thing counts, especially for a species that's in such peril. Imagine what would happen if we all did one… https://t.co/xefxwJO5dR",28
28,CNN,Sat Apr 28 00:51:07 +0000 2018,0.0516,0.098,0.812,0.09,"Exposure to the kind of blue light emitted by outdoor LEDs, smartphones and tablets may increase your risk of breas… https://t.co/eYrT16IdkN",29
29,CNN,Sat Apr 28 00:46:04 +0000 2018,-0.4215,0.0,0.859,0.141,"14 more people have become ill from E. coli linked to romaine lettuce, the CDC says https://t.co/riP3ia471h https://t.co/RZ6gpIR2HQ",30
30,CNN,Sat Apr 28 00:41:07 +0000 2018,-0.6486,0.0,0.739,0.261,Paul Ryan's firing of Father Conroy should worry us all | By Jay Parini via @CNNOpinion https://t.co/jMcFD4vHrs https://t.co/1bRaVFhzMN,31
31,CNN,Sat Apr 28 00:36:03 +0000 2018,0.0,0.0,1.0,0.0,"The EPA inspector general is looking into Administrator Scott Pruitt's $50-per-night apartment rental, travel expen… https://t.co/8L5tML33Zr",32
32,CNN,Sat Apr 28 00:32:38 +0000 2018,0.1027,0.08,0.92,0.0,"Russians reached out to Trump team about Magnitsky Act sanctions after the 2016 election, Democrats say… https://t.co/WyxJY1jsBq",33
33,CNN,Sat Apr 28 00:21:08 +0000 2018,0.1531,0.125,0.733,0.142,"When Colorado teachers took to the streets for a second day of protests for better pay and learning conditions, the… https://t.co/jd7gyJMRMj",34
34,CNN,Sat Apr 28 00:08:30 +0000 2018,0.4588,0.125,0.875,0.0,"NASA is going to Mars again, this time with the first spaceship dedicated to digging deep below the surface to find… https://t.co/wbgDjCiYfY",35
35,CNN,Fri Apr 27 23:57:03 +0000 2018,-0.1779,0.0,0.898,0.102,This is the cultural dilemma of Bill Cosby's fall | By Gene Seymour via @CNNOpinion https://t.co/Rxqmc97xFo https://t.co/n91QLpRTpC,36
36,CNN,Fri Apr 27 23:32:38 +0000 2018,0.6478,0.209,0.791,0.0,US Secretary of Defense James Mattis says there is more optimism than ever before when it comes to dealing with Nor… https://t.co/3fHdNdj0ry,37
37,CNN,Fri Apr 27 23:16:14 +0000 2018,0.0,0.0,1.0,0.0,"RT @TheLeadCNN: As the New York Times reports that the Russian lawyer at the Trump Tower meeting had previously unknown Kremlin ties, fmr.…",38
38,CNN,Fri Apr 27 23:15:14 +0000 2018,-0.6486,0.0,0.815,0.185,An investigation of the Golden State Killer hinged on a search of public genetic databases. Here's what the case me… https://t.co/EFKQziaJTU,39
39,CNN,Fri Apr 27 23:00:51 +0000 2018,0.0,0.0,1.0,0.0,"Dr. Ronny, Emmanuel, Kanye, Cohen, Comey and more! 1 week in Washington | Analysis by @CillizzaCNN… https://t.co/2E92oRG4my",40
40,CNN,Fri Apr 27 22:49:49 +0000 2018,-0.7506,0.0,0.67,0.33,"Fearing that climate change is hurting their sport, Winter Olympians take on politics https://t.co/9UBBDDCA6i https://t.co/7FE26BJG5Y",41
41,CNN,Fri Apr 27 22:42:56 +0000 2018,0.4404,0.162,0.838,0.0,FIFA directed attention to the organization's ethics rules following President Donald Trump's tweet supporting the… https://t.co/5RmSefZpVu,42
42,CNN,Fri Apr 27 22:27:25 +0000 2018,-0.7506,0.0,0.714,0.286,"Israeli forces shot and killed three Palestinian men during protests along the Israel-Gaza border on Friday, accord… https://t.co/2byFWmoPrU",43
43,CNN,Fri Apr 27 22:01:07 +0000 2018,0.0,0.0,1.0,0.0,"Wynn Resorts CEO Matt Maddox says the company wants to change the name of its Boston casino project from ""Wynn Bost… https://t.co/Gzn60mLgJG",44
44,CNN,Fri Apr 27 21:53:18 +0000 2018,-0.2263,0.0,0.905,0.095,"The judge in Stormy Daniels' lawsuit against President Donald Trump and his personal attorney, Michael Cohen, has i… https://t.co/3A9QiLERVo",45
45,CNN,Fri Apr 27 21:39:47 +0000 2018,0.0,0.0,1.0,0.0,Here's how artists depicted the week in Kanye https://t.co/1vJFdLwQZ0 https://t.co/FHgFQu4DW3,46
46,CNN,Fri Apr 27 21:37:16 +0000 2018,-0.1779,0.112,0.744,0.144,"RT @TheLeadCNN: Many people don't realize that ""our border security hurts America,"" @wkamaubell tells @jaketapper, after interviewing peopl…",47
47,CNN,Fri Apr 27 21:25:31 +0000 2018,-0.8834,0.0,0.623,0.377,"At least seven students were killed and 12 injured in a knife attack at a middle school in Shaanxi province, China,… https://t.co/B6tDuy7Wm6",48
48,CNN,Fri Apr 27 21:13:53 +0000 2018,0.3034,0.122,0.878,0.0,BREAKING EXCLUSIVE: The NRA is setting aside years of documents regarding its ties to a Kremlin-linked banker… https://t.co/2IIcO9rld1,49
49,CNN,Fri Apr 27 20:57:40 +0000 2018,0.0,0.0,1.0,0.0,"James Cameron brings star power to ""Story of Science Fiction"" https://t.co/fFX1SWat2F https://t.co/C76pOi1oJ6",50
50,CNN,Fri Apr 27 20:54:30 +0000 2018,-0.5423,0.0,0.837,0.163,"Tom Brokaw rails against sexual harassment allegations in a letter to colleagues, saying he was ""perp walked ... as… https://t.co/thtYpiQ19o",51
51,CNN,Fri Apr 27 20:45:23 +0000 2018,0.2263,0.139,0.759,0.101,When does an arrest become a rescue? @wkamaubell hears how the answer isn’t always black and white when that arrest… https://t.co/CPW3XZrS2D,52
52,CNN,Fri Apr 27 20:41:08 +0000 2018,0.0,0.0,1.0,0.0,"Tom Brokaw says he did not intend for a ""rough draft"" of a letter he wrote to be widely read.

In it, he rails agai… https://t.co/CONo7wnxKi",53
53,CNN,Fri Apr 27 20:31:05 +0000 2018,-0.6124,0.0,0.773,0.227,"A lack of fuel caused the 2016 crash of a charter flight carrying a Brazilian soccer team, the Colombian aviation a… https://t.co/EwDvG3Gyjt",54
54,CNN,Fri Apr 27 20:21:04 +0000 2018,0.0,0.0,1.0,0.0,The Florida school shooter appeared in court and waived his right to a speedy trial https://t.co/PBXp4idVv9 https://t.co/ewXqsJ4lB0,55
55,CNN,Fri Apr 27 20:11:07 +0000 2018,0.0,0.0,1.0,0.0,"US Air Force B-52 Stratofortress bombers flew a training mission over the South China Sea on Tuesday, according to… https://t.co/7afwPQdT8U",56
56,CNN,Fri Apr 27 20:01:06 +0000 2018,0.0,0.0,1.0,0.0,Arizona's only two black state legislators were publicly rebuked after they expressed concern over a colleague usin… https://t.co/bvQyGCOnE4,57
57,CNN,Fri Apr 27 19:51:06 +0000 2018,0.4939,0.138,0.862,0.0,"""Ronny Jackson is one of the finest men I've ever met,"" said President Donald Trump, who praised his embattled Whit… https://t.co/erxqJLW1IJ",58
58,CNN,Fri Apr 27 19:41:04 +0000 2018,-0.4215,0.0,0.851,0.149,This award-winning photo of an anteater creeping toward a glowing termite mound was disqualified after judges concl… https://t.co/d5bhBDJMlM,59
59,CNN,Fri Apr 27 19:31:04 +0000 2018,0.0,0.0,1.0,0.0,"Bill Cosby, ""Roseanne"" and the complications of '80s nostalgia https://t.co/VKvNZhfE3a https://t.co/BbmgikbeHl",60
60,CNN,Fri Apr 27 19:21:03 +0000 2018,0.2023,0.127,0.738,0.135,Rep. Patrick Meehan announced he is resigning from the House effective Friday and will pay back $39K used to settle… https://t.co/c8Vdty7ia7,61
61,CNN,Fri Apr 27 19:11:02 +0000 2018,-0.0516,0.174,0.682,0.144,The United Nations is to reopen an investigation into allegations of sexual assault by one of its top officials aft… https://t.co/EKI1wKT2jc,62
62,CNN,Fri Apr 27 19:02:19 +0000 2018,-0.4767,0.0,0.86,0.14,"Chris Norton, 26, was told that he might never walk again. But 7 years after a football accident paralyzed him, his… https://t.co/BEFUr0BJR9",63
63,CNN,Fri Apr 27 18:50:59 +0000 2018,0.0,0.0,1.0,0.0,"US President Trump said potential sites for a summit with North Korean leader Kim Jong Un have been narrowed to ""tw… https://t.co/rfRvqe9fmk",64
64,CNN,Fri Apr 27 18:40:07 +0000 2018,0.34,0.107,0.893,0.0,"Temple University rescinds the honorary degree it gave to Bill Cosby, one of its most famous alums and a former tru… https://t.co/nNrITfCOCw",65
65,CNN,Fri Apr 27 18:38:37 +0000 2018,0.6486,0.194,0.806,0.0,RT @CNNPolitics: Trump says he is encouraged by the progress made at the Inter-Korean Summit and says he looks forward to meeting with Nort…,66
66,CNN,Fri Apr 27 18:30:12 +0000 2018,0.0772,0.287,0.51,0.204,"Chance the Rapper rejects ""thank you"" from President Trump https://t.co/qJhFAyoAGC https://t.co/2zJOO2Vc72",67
67,CNN,Fri Apr 27 18:20:07 +0000 2018,-0.3612,0.0,0.783,0.217,What teacher strikes are really about | via @CNNopinion https://t.co/1h6S1VlrHD https://t.co/5dFYCOSHQe,68
68,CNN,Fri Apr 27 18:10:09 +0000 2018,-0.4215,0.0,0.859,0.141,The ex-con coal executive the GOP fears could be their nominee in West Virginia Senate race https://t.co/QEdii9hKpv https://t.co/Z42bkbgXZC,69
69,CNN,Fri Apr 27 18:05:25 +0000 2018,0.0,0.0,1.0,0.0,President Trump and German Chancellor Merkel are holding a joint press conference in the East Room of the White Hou… https://t.co/xDSUUp6hFs,70
70,CNN,Fri Apr 27 17:52:04 +0000 2018,0.0,0.0,1.0,0.0,Secretary of State Mike Pompeo says President Trump is unlikely to keep the US in the Iran nuclear deal past the ne… https://t.co/vTd9hjezX0,71
71,CNN,Fri Apr 27 17:46:30 +0000 2018,0.0,0.0,1.0,0.0,"While this teacher was working her second job as a cashier, a customer slipped her an envelope. When she opened it,… https://t.co/8TqDTbbLHN",72
72,CNN,Fri Apr 27 17:30:11 +0000 2018,0.0772,0.113,0.795,0.093,How Amazon made Prime into an indispensable product you'd pay anything for https://t.co/sQgwLcBX47 https://t.co/WSEz2phUML,73
73,CNN,Fri Apr 27 17:17:58 +0000 2018,-0.1593,0.112,0.708,0.18,A judge said that Manafort can't use this lawsuit to stop the special counsel's office from continuing to pursue an… https://t.co/XWJGER4IlY,74
74,CNN,Fri Apr 27 17:17:18 +0000 2018,-0.128,0.118,0.699,0.183,Former Trump campaign chairman Paul Manafort has lost his lawsuit claiming Deputy AG Rod Rosenstein and special cou… https://t.co/1s8A1xAR42,75
75,CNN,Fri Apr 27 17:00:12 +0000 2018,0.3291,0.11,0.89,0.0,"Former President George H.W. Bush ""is in excellent spirits,"" but will continue to recover in the hospital through t… https://t.co/2VEadYSOTg",76
76,CNN,Fri Apr 27 16:50:06 +0000 2018,-0.5106,0.0,0.769,0.231,Why Bill Cosby may not spend any time in prison https://t.co/fe4neqzCVI https://t.co/turU31ZiMp,77
77,CNN,Fri Apr 27 16:40:12 +0000 2018,0.4404,0.139,0.861,0.0,"Salem Media, owner of the influential conservative website RedState, froze the site today and dismissed many of its… https://t.co/t8kQpdZHyz",78
78,CNN,Fri Apr 27 16:30:07 +0000 2018,-0.2023,0.0,0.909,0.091,At least two Republican House members confronted House Speaker Paul Ryan this morning at their caucus meeting over… https://t.co/uu6JOjengK,79
79,CNN,Fri Apr 27 16:20:06 +0000 2018,0.5574,0.205,0.795,0.0,The remarkable smackdown of Bob Menendez by his Senate colleagues | Analysis by @CillizzaCNN https://t.co/tN5eo2ocjv https://t.co/gWtTBLvrHZ,80
80,CNN,Fri Apr 27 16:10:09 +0000 2018,-0.3612,0.0,0.894,0.106,Many people are apart from their moms this Mother’s Day due to immigration struggles. Are you one of them? If you’d… https://t.co/Je2u4y1KSu,81
81,CNN,Fri Apr 27 16:00:06 +0000 2018,0.5423,0.179,0.821,0.0,Kim Jong Un is a tyrant. Talk of peace in Korea doesn't change that. | @adamcathcart for @CNNopinion… https://t.co/ntvaPWRMiy,82
82,CNN,Fri Apr 27 15:50:37 +0000 2018,0.2023,0.107,0.893,0.0,An unbelievable week -- or just another week in Trump world | Analysis by @StCollinson https://t.co/JE5MSiMnJG https://t.co/BFM18Qv94C,83
83,CNN,Fri Apr 27 15:40:12 +0000 2018,0.34,0.195,0.805,0.0,Amazon is raising the price of Amazon Prime from $99 to $119 per year https://t.co/XOpAeTMkBD https://t.co/91r30G77Gq,84
84,CNN,Fri Apr 27 15:30:41 +0000 2018,0.0,0.0,1.0,0.0,The Duke and Duchess of Cambridge have named their third child Louis Arthur Charles. The new royal baby is fifth in… https://t.co/gL51tjV6rV,85
85,CNN,Fri Apr 27 15:20:09 +0000 2018,0.0,0.0,1.0,0.0,History was made Friday when Kim Jong Un became the first North Korean leader to cross into South Korean territory… https://t.co/vlxhjOrxwR,86
86,CNN,Fri Apr 27 15:10:07 +0000 2018,0.4588,0.125,0.875,0.0,"NASA is going to Mars again, this time with the first spaceship dedicated to digging deep below the surface to find… https://t.co/OHyYZPYJdU",87
87,CNN,Fri Apr 27 15:04:25 +0000 2018,0.0,0.0,1.0,0.0,"The White House medical unit frequently functioned as a ""grab and go"" clinic where mid-level staffers to the most s… https://t.co/eTncZXXqu5",88
88,CNN,Fri Apr 27 14:50:37 +0000 2018,0.0,0.0,1.0,0.0,"President Trump is hosting a celebration for US Olympians at the White House.

Watch on Facebook:… https://t.co/KddL5jsefY",89
89,CNN,Fri Apr 27 14:47:14 +0000 2018,0.4939,0.144,0.856,0.0,This is the moment Moon Jae-in and Kim Jong Un signed an agreement pledging to end the Korean War… https://t.co/9KrP1VpTJb,90
90,CNN,Fri Apr 27 14:35:37 +0000 2018,0.4767,0.162,0.838,0.0,The House Intelligence Committee has released a redacted version of the Republican report on the committee's year-l… https://t.co/1cHDX8D7Zl,91
91,CNN,Fri Apr 27 14:22:49 +0000 2018,0.7003,0.254,0.746,0.0,"President Trump will welcome the United States' Winter Olympics teams to the White House today.

Lindsey Vonn, Gus… https://t.co/v7iOIFxx4l",92
92,CNN,Fri Apr 27 14:16:35 +0000 2018,0.0,0.0,1.0,0.0,"JUST IN: Newly published emails indicate that Natalia Veselnitskaya, the Russian lawyer who met with Trump campaign… https://t.co/6iBdy0Q2E8",93
93,CNN,Fri Apr 27 14:06:02 +0000 2018,0.5574,0.153,0.847,0.0,"The first meeting between North Korea's Kim Jong Un and his counterpart Moon Jae-in was rich in symbolism, and mome… https://t.co/iZlfk4lUlQ",94
94,CNN,Fri Apr 27 13:56:05 +0000 2018,-0.3612,0.0,0.783,0.217,Here's how far teacher salaries have fallen behind https://t.co/7fzsjbgUdC https://t.co/OvDmuqz9iZ,95
95,CNN,Fri Apr 27 13:45:00 +0000 2018,0.4019,0.109,0.891,0.0,"President Donald Trump on Thursday tweeted his support of the joint bid by the US, Mexico and Canada to host the 20… https://t.co/LlCJ1yrpB2",96
96,CNN,Fri Apr 27 13:31:57 +0000 2018,0.0,0.0,1.0,0.0,"One in 59 US children has autism, according to a new report from the CDC https://t.co/i1aaiGmYX2 https://t.co/AmqcrzMVCF",97
97,CNN,Fri Apr 27 13:15:43 +0000 2018,-0.296,0.0,0.885,0.115,"Mamma Mia, here they go again -- Swedish pop group ABBA is back with new music https://t.co/aFq4WAfGsj https://t.co/Bqfs8ZeM3G",98
98,CNN,Fri Apr 27 13:01:59 +0000 2018,0.0,0.0,1.0,0.0,"Kim Jong Un waves goodbye at the #InterKoreanSummit (accompanied, of course, by his now-famous jogging bodyguards)… https://t.co/WSwVxdkcNW",99
99,CNN,Fri Apr 27 13:00:07 +0000 2018,0.0,0.0,1.0,0.0,"The US economy grew at a rate of 2.3% in the first quarter, according to the Commerce Department's preliminary repo… https://t.co/K4T7VCTfn5",100
100,BBCWorld,Sat Apr 28 04:40:01 +0000 2018,0.0772,0.14,0.86,0.0,Koreas summit: North Korean media hail 'historic' meeting https://t.co/XgW5WG7Nyy,1
101,BBCWorld,Sat Apr 28 04:18:04 +0000 2018,0.5423,0.28,0.72,0.0,Koreas summit: Will historic talks lead to lasting peace? https://t.co/KGG7yOhidn,2
102,BBCWorld,Sat Apr 28 04:07:07 +0000 2018,0.128,0.233,0.583,0.184,France's protesters revive ghosts of 1968 revolt https://t.co/EYmmicnA6k,3
103,BBCWorld,Sat Apr 28 01:07:39 +0000 2018,0.0,0.0,1.0,0.0,SOS! Will Abba's new music live up to their legacy? https://t.co/8DtlZncAbt,4
104,BBCWorld,Sat Apr 28 01:01:46 +0000 2018,0.2023,0.167,0.833,0.0,Crossing Divides: Can Chinese Americans solve differences over dinner? https://t.co/v5YfYenJ5Y,5
105,BBCWorld,Sat Apr 28 00:44:11 +0000 2018,-0.4939,0.0,0.714,0.286,Lions are being poisoned in Uganda's National Park https://t.co/RpbTlwAAka,6
106,BBCWorld,Sat Apr 28 00:38:01 +0000 2018,0.0,0.0,1.0,0.0,Week in pictures: 21-27 April 2018 https://t.co/hrAYCUMVdX,7
107,BBCWorld,Sat Apr 28 00:28:56 +0000 2018,-0.7579,0.0,0.581,0.419,Golden State Killer suspect: Joseph James DeAngelo appears in court https://t.co/zFainEg7Vz,8
108,BBCWorld,Fri Apr 27 23:51:25 +0000 2018,0.0772,0.14,0.86,0.0,Quebec mosque gunman may face 150-year jail sentence https://t.co/4DxfnrBQhW,9
109,BBCWorld,Fri Apr 27 23:51:25 +0000 2018,0.0,0.0,1.0,0.0,Michael Cohen: Stormy Daniels case against Trump's lawyer put on hold https://t.co/ZAZRIWrYJg,10
110,BBCWorld,Fri Apr 27 20:35:05 +0000 2018,-0.4019,0.0,0.769,0.231,Guinea politician 'enslaved girl in Texas for 16 years' https://t.co/POdPyGSCG9,11
111,BBCWorld,Fri Apr 27 19:08:26 +0000 2018,0.7506,0.416,0.584,0.0,Korean summit: Welcoming Kim Jong-un with pomp and peace rituals https://t.co/k7LuSuYXeS,12
112,BBCWorld,Fri Apr 27 19:05:36 +0000 2018,0.2732,0.174,0.826,0.0,Trump visit: How previous presidents were greeted by the UK https://t.co/EdgbjbwUGs,13
113,BBCWorld,Fri Apr 27 18:29:57 +0000 2018,-0.6705,0.0,0.667,0.333,"Israel border clashes: Three Palestinians killed, Gaza officials say https://t.co/4SKGfbaaPW",14
114,BBCWorld,Fri Apr 27 18:09:23 +0000 2018,0.3612,0.301,0.531,0.168,Armenia's new president praises 'courage' of protesters https://t.co/Jsd0rGlBr2,15
115,BBCWorld,Fri Apr 27 17:40:11 +0000 2018,0.3818,0.224,0.776,0.0,Ethics debate as pig brains kept alive without a body https://t.co/yLQDdaWpqA,16
116,BBCWorld,Fri Apr 27 17:07:58 +0000 2018,-0.0772,0.0,0.874,0.126,Balenciaga sorry over mistreatment of Chinese shoppers in Paris https://t.co/NwcZIJXwfn,17
117,BBCWorld,Fri Apr 27 16:34:57 +0000 2018,0.0,0.0,1.0,0.0,Peru child sacrifice discovery may be largest in history https://t.co/9EAkdEQcwu,18
118,BBCWorld,Fri Apr 27 15:24:47 +0000 2018,0.0,0.0,1.0,0.0,The race to document Australia's unknown species https://t.co/KvRqLuPXab,19
119,BBCWorld,Fri Apr 27 15:08:34 +0000 2018,0.4019,0.278,0.722,0.0,I used YouTube to help deliver my baby https://t.co/fAOvs4h2LC,20
120,BBCWorld,Fri Apr 27 14:49:39 +0000 2018,0.0,0.0,1.0,0.0,Merkel holds 'working visit' with Trump at the White House https://t.co/ldZMdBbag2,21
121,BBCWorld,Fri Apr 27 14:17:22 +0000 2018,0.6369,0.318,0.682,0.0,French-Tunisian baker on the secrets behind Paris' best baguettes https://t.co/cTX54HTNV0,22
122,BBCWorld,Fri Apr 27 13:01:37 +0000 2018,-0.7783,0.0,0.424,0.576,China teenage students stabbed to death https://t.co/AAPCKVp2bU,23
123,BBCWorld,Fri Apr 27 12:30:26 +0000 2018,-0.6908,0.0,0.598,0.402,Viewpoint: Spain rape case highlights enduring machismo https://t.co/RwyjZa1YTM,24
124,BBCWorld,Fri Apr 27 12:00:25 +0000 2018,0.0,0.0,1.0,0.0,ABBA announce first new music since 1982 https://t.co/y3WnuMHAeq,25
125,BBCWorld,Fri Apr 27 11:46:24 +0000 2018,0.0,0.0,1.0,0.0,Kenya bans Rafiki ahead of Cannes debut over lesbian scenes https://t.co/k67O8AGpCw,26
126,BBCWorld,Fri Apr 27 11:10:18 +0000 2018,0.0,0.0,1.0,0.0,Cardi B is being sued by her former manager for £7m https://t.co/aDXZqijAVZ,27
127,BBCWorld,Fri Apr 27 10:34:50 +0000 2018,0.0,0.0,1.0,0.0,Harry Potter star Tom Felton set for new YouTube sci-fi series Origin https://t.co/V8lwj4ivzl,28
128,BBCWorld,Fri Apr 27 10:29:26 +0000 2018,-0.5994,0.0,0.698,0.302,North Korea: Otto Warmbier's family sues over son's death https://t.co/tEnhyoy23z,29
129,BBCWorld,Fri Apr 27 10:15:17 +0000 2018,0.0,0.0,1.0,0.0,How to handle the flood of GDPR privacy updates https://t.co/TVltjNM07l,30
130,BBCWorld,Fri Apr 27 09:55:18 +0000 2018,0.2732,0.208,0.792,0.0,Five times Kanye West took us by surprise https://t.co/8sadUUC6Wl,31
131,BBCWorld,Fri Apr 27 09:47:05 +0000 2018,0.0,0.0,1.0,0.0,Wildlife photo competition disqualifies 'stuffed anteater' image https://t.co/X0WI8FFg6D,32
132,BBCWorld,Fri Apr 27 09:44:14 +0000 2018,-0.765,0.0,0.577,0.423,Israel floods: Arrests as 10 teens drown on school trip https://t.co/isM4x6llRt,33
133,BBCWorld,Fri Apr 27 09:44:12 +0000 2018,-0.4767,0.0,0.693,0.307,IS web media targeted in EU-led attack https://t.co/KZuNoxnqZh,34
134,BBCWorld,Fri Apr 27 09:18:59 +0000 2018,0.0,0.0,1.0,0.0,Koreas make nuclear pledge after summit https://t.co/WSBC9TZn59,35
135,BBCWorld,Fri Apr 27 07:16:24 +0000 2018,0.0,0.0,1.0,0.0,K-pop superstars BTS launch world tour https://t.co/iGF9YBajCg,36
136,BBCWorld,Fri Apr 27 07:10:33 +0000 2018,0.0,0.0,1.0,0.0,Real-life Transformer: The Japanese robot that becomes a car https://t.co/ES9J4wDTmN,37
137,BBCWorld,Fri Apr 27 06:57:17 +0000 2018,0.0,0.0,1.0,0.0,"RT @BBCBreaking: #interkoreansummit

• Kim Jong-un crosses into South Korea
• First North Korean leader to do so since the end of the Korea…",38
